"year","prop_expanded"
2014,0.509803921568627
2015,0.568627450980392
2016,0.617647058823529
2017,0.627450980392157
2018,0.627450980392157
2019,0.661764705882353
2020,0.71078431372549
2021,0.740196078431373
2022,0.764705882352941
2023,0.77124183006536
