"firm","labeler_code"
"HQ SPCLT PHARMA",NA
"BEXIMCO PHARMS USA",NA
"AILEX PHARMS LLC","70556"
"APGDI",NA
"ONYX PHARMS AMGEN","76075"
"SHENZHEN TECHDOW","43116"
"ARBOR PHARMS LLC",NA
"CSPC-NBP PHARM","24075"
"PAI HOLDINGS PHARM","00121"
"CATALENT",NA
"LEO LABS","26550"
"CATALYST PHARMS","69616"
"INTL MEDICATION SYS",NA
"RECRO GAINESVILLE",NA
"USV",NA
"OTSUKA PHARM CO LTD","59148"
"ATLAS PHARMS LLC","50699"
"HIKMA PHARM CO LTD","00054"
"AVYXA HOLDINGS","83831"
"INTAS PHARMS USA",NA
"MICRO LABS LTD","42571"
"PERRIGO ISRAEL","00113"
"AIRGAS THERAP","11054"
"TECH ORGANIZED","10702"
"LUNDBECK NA LTD","67386"
"UNIV TX MD ANDERSON",NA
"HORIZON THERAP US","74683"
"NOVO","00169"
"MCPRF",NA
"INVENTIA HLTHCARE","49252"
"QILU PHARM HAINAN","51810"
"DOUGLAS PHARMS",NA
"SOFIE","49609"
"EDENBRIDGE PHARMS","42799"
"KASTLE THERAPS LLC",NA
"BRAINTREE LABS","52268"
"QILU ANTIBIOTICS","51810"
"ABBVIE ENDOCRINE","00032"
"CARDINAL HLTH 414","48815"
"DEXCEL","64239"
"3D IMAGING DRUG",NA
"BRIGHAM WOMENS HOSP","24450"
"LIGAND PHARMS",NA
"SHANGHAI HENGRUI","73557"
"UCLA BIOMEDICAL","76394"
"INDCHEMIE HEALTH",NA
"SYNTHON PHARMS INC","63672"
"PETNET","40028"
"EIRGEN",NA
"NUKEMED",NA
"KREITCHMAN PET CTR","62072"
"WESTMINSTER PHARMS","69367"
"ANTRIM PHARMS LLC",NA
"JUBILANT DRAXIMAGE","45548"
"CALL INC","49908"
"NOVARTIS PHARM","00078"
"AGILE","71671"
"BRISTOL",NA
"MALLINCKRODT INC","43825"
"LABORATOIRE HRA","43014"
"SUNSHINE",NA
"ZHEJIANG HISUN PHARM","41366"
"CADILA","71209"
"PURACAP PHARM LLC","24658"
"SHERTECH LABS LLC",NA
"QILU","51810"
"US ANTIBIOTICS",NA
"NEOS THERAPS","62542"
"THE FEINSTEIN INST","13267"
"BIOMEDCL RES FDN",NA
"WISCONSIN","68093"
"STEVENS J",NA
"BAYER HEALTHCARE PHARMS","00026"
"JANSSEN THERAP","50458"
"TRIPOINT","80705"
"ANACOR PHARMS INC",NA
"DAITO PHARMS CO LTD",NA
"UCSF RODIOPHARM","24275"
"MIDWEST MEDCL","61865"
"REACX PHARMS",NA
"UIHC PET IMAGING","24417"
"DECATUR",NA
"UNIV UTAH CYCLOTRON",NA
"IPCA LABS","83980"
"WA UNIV SCH MED",NA
"NCM USA BRONX LLC","65119"
"JOHNS HOPKINS UNIV","40089"
"MIPS CRF","69587"
"HOT SHOTS NM LLC",NA
"LIAONING CHENGDA",NA
"CENTRAL RADIOPHARM","10221"
"ESSENTIAL ISOTOPES","71677"
"GATOR PHARMS",NA
"BEACH PRODS","00486"
"PROVEPHARM SAS","81284"
"CHEMI SPA",NA
"LIFE MOLECULAR","54828"
"WEST WARD PHARM CORP","54832"
"OSMOTICA PHARM CORP",NA
"KNIGHT THERAPS",NA
"NUVO PHARM",NA
"PTS CONSULTING",NA
"KEY THERAP","63817"
"INNOCOLL",NA
"ASSERTIO SPECLTY","13913"
"DAEWOONG PHARM CO",NA
"LNK INTL INC",NA
"SOVEREIGN PHARMS","58716"
"CAPLIN","65145"
"MYLAN LABS","00378"
"MSN LABS PVT LTD","26550"
"RISING PHARMS","16571"
"SHANDONG","35369"
"ADHERA",NA
"PROVENSIS",NA
"HETERO LABS","68554"
"RESILIA PHARMS","81811"
"CHEMO RESEARCH SL",NA
"CROSSMEDIKA SA",NA
"SECURA","73116"
"MONTEREY PHARMS LLC",NA
"AVET",NA
"GLAXO GRP ENGLAND",NA
"INTERPHARMA PRAHA AS",NA
"GENSCO",NA
"PIERRE","64370"
"PULMOFLOW INC",NA
"INNOPHARMA",NA
"EAGLE PHARMS","42367"
"BDSI",NA
"ANBISON LAB",NA
"AIR LIQUIDE AMERICA SPECIALITY GASES","11853"
"AIR LIQUID INDUSTRIAL US LP","72712"
"AIR LIQUIDE LARGE INDUSTRIES US LP","11853"
"LINDE NORTH AMERICA INC","11324"
"MACHINE & WELDING SUPPLY CO","49575"
"WYNN L MADER, INDUSTRIAL GAS DISTRIBUTORS",NA
"LINDE MERCHANT PRODUCTIONS INC","11324"
"LINDE GAS PUERTO RICO INC","11324"
"SCOTT-GROSS COMPANY",NA
"DUPUY OXYGEN","50554"
"AIR LIQUIDE AMERICA LP","11853"
"AIRGAS MERCHANTS GASES LLC","11054"
"AIRGAS CARBONIC INC","11054"
"PRAXAIR INC",NA
"ASPEN AIR","42914"
"BEIJING YILING","71073"
"KERYX BIOPHARMS",NA
"NAL PHARM","43136"
"PRAXAIR DISTRIBUTION INC",NA
"PRAXAIR DISTRIBUTION MID-ATLANTIC LLC",NA
"NOVA LABS LTD","62484"
"ARMSTRONG PHARMS","17270"
"SHILPA","63759"
"SAWAI USA",NA
"WILSHIRE PHARMS INC","52536"
"PRAXAIR CANADA INC",NA
"ACETYLENE OXYGENE CO",NA
"ALVOGEN PINE BROOK","47781"
"AIR LIQUIDE HEALTHCARE AMERICA CORP","11853"
"BEIJING TIDE PHARM","71073"
"VERTEX PHARMS INC","51167"
"INDOCO","14445"
"SPECTRA MDCL DEVICES","65282"
"DFB ONCOLOGY LTD",NA
"LUOXIN AUROVITAS","81894"
"MEDICINES360",NA
"ROCKWELL MEDICAL INC",NA
"MELINTA THERAP","70842"
"PURACAP LABS BLU","24658"
"SWEDISH ORPHAN","66658"
"VELOXIS PHARMS INC","68992"
"SAREPTA THERAPS INC","60923"
"MYLAN TECH VIATRIS","00378"
"TERSERA","70720"
"OHEMO LIFE","73780"
"NANG KUANG PHARM CO",NA
"HUMANWELL PURACAP","53345"
"ASCENT PHARMS INC","42829"
"SETON PHARMS","13925"
"SALERNO PHARMS",NA
"FRESENIUS","18124"
"AMNEAL PHARMS CO","00115"
"WATSON PHARMS TEVA",NA
"LINDE GAS NORTH AMERICA LLC","11324"
"EMERGE BIOSCIENCE",NA
"BRISTOL-MYERS SQUIBB",NA
"ABHAI LLC",NA
"HATCHTECH",NA
"IBSA INST BIO","71858"
"X-GEN PHARMS INC",NA
"GEN HOSP",NA
"AMERICAN WELDING AND GAS INC","00517"
"SANALUZ",NA
"UMEDICA","60290"
"LINDE GAS EQUIP","11324"
"MDD US",NA
"DEVA HOLDING AS",NA
"VISUM PHARM",NA
"AYANA PHARMA LTD",NA
"ICEUTICA OPERATIONS",NA
"FLAMINGO PHARMS",NA
"ACADIA PHARMS INC","63090"
"INSMED INC","71558"
"CHANGZHOU PHARM","55488"
"HIBROW HLTHCARE",NA
"WES PHARMA INC",NA
"HANGZHOU BINJIANG","60723"
"SHILPA MEDICARE","63759"
"ADAMIS PHARMS CORP",NA
"NOVELGENIX THERAPS",NA
"CROWN LABS INC","00316"
"NEOCUBES PHARMA",NA
"IPSEN","15054"
"RICONPHARMA LLC",NA
"MILLA PHARMS","71357"
"TELIGENT",NA
"HYBIO","14403"
"MSD MERCK CO","00006"
"PLD ACQUISITIONS LLC","63548"
"GALDERMA LABS","00299"
"NORTON WATERFORD",NA
"ALCON","00065"
"HEC PHARM CO LTD","43136"
"EZRA VENTURES",NA
"APRECIA PHARMS","43485"
"NEXTWAVE PHARMS","24478"
"SCILEX PHARMS","69557"
"TAIHO ONCOLOGY","64842"
"IRONWOOD PHARMS INC","52311"
"INTERCEPT PHARMS INC",NA
"ST RENATUS",NA
"MSN",NA
"PUMA BIOTECH","70437"
"BLUE EARTH","14448"
"STRATA MEDICAL INNOVATIONS",NA
"PRIMUS PHARMS","68040"
"ECI PHARMS LLC",NA
"JAZZ PHARMS INC","68727"
"ALCON LABS","00065"
"PHARMACOSMOS","73594"
"METACEL PHARMS LLC","69528"
"TONIX MEDS","70792"
"PENN LIFE","69125"
"ADIENNE SA",NA
"3M HEALTH CARE","12165"
"KAI PHARMS INC",NA
"MEDICURE","25208"
"PORTOLA PHARMS INC",NA
"POHL BOSKAMP",NA
"HOFFMANN-LA ROCHE",NA
"MILLICENT","72495"
"SANOFI-AVENTIS US","00024"
"SUNNY","81738"
"MAIA PHARMS INC","70511"
"MELINTA","70842"
"AVION PHARMS","75854"
"SCINOPHARM TAIWAN",NA
"AMICUS THERAP US","71904"
"NXDC",NA
"FLORIDA","71921"
"SINOTHERAPEUTICS INC",NA
"ZEVRA THERAP","70040"
"PTC THERAP","63817"
"AAA USA INC",NA
"CEDIPROF INC",NA
"RADIUS","70539"
"ACCORD HLTHCARE INC","16729"
"TEVA PHARM","00093"
"VITRUVIAS THERAP","69680"
"LYNE","00374"
"THERAVIA",NA
"QINGDAO BAHEAL PHARM","70247"
"EYEPOINT PHARMS","71879"
"FERRER INTERNACIONAL",NA
"PARATEK PHARMS","71715"
"SCIECURE PHARMA INC",NA
"ULTRATAB LABS INC",NA
"ITALFARMACO SA","11797"
"PHARMAAND","82154"
"MITSUBISHI TANABE","70510"
"BIOCORRX PHARMS",NA
"NEUROCRINE","70370"
"EPI HLTH",NA
"RIGEL PHARMS","71332"
"ALIGNSCIENCE PHARMA",NA
"ACLARIS",NA
"IRONSHORE PHARMS","71376"
"YICHANG HUMANWELL",NA
"EUROHLTH INTL SARL",NA
"BEIJING","71073"
"JAZZ PHARMS THERAP","68727"
"AFT PHARMS US",NA
"CMP DEV LLC","46287"
"INTRA-CELLULAR","72060"
"UNIV TX SW MEDCTR",NA
"INNOCOLL PHARMS",NA
"HANGZHOU ZHONGMEI","60723"
"OMNIVIUM PHARMS","81665"
"PROGENICS PHARMS INC","71258"
"SOLA PHARMS","70512"
"HBT LABS INC","26550"
"DR REDDYS LABS EU","43598"
"XIAMEN LP PHARM CO","71034"
"REMPEX",NA
"PROTEGA PHARMS","81140"
"PIRAMAL","24584"
"CHARTWELL PHARMA","62135"
"LAURUS","42385"
"GENERAL SERVICES & SUPPLY CO","10451"
"SHUANGCHENG",NA
"PURPLE BIOTECH",NA
"CONCORD BIOTECH LTD","68254"
"ACQ PHARMA",NA
"ZHEJIANG NOVUS PHARM","41366"
"JAZZ PHARMS RES","68727"
"SPIL",NA
"GENEYORK PHARMS",NA
"BAUDAX",NA
"MYLAN IRELAND LTD","00378"
"60 DEGREES PHARMS","71475"
"NORDIC GRP","69918"
"CLIVUNEL INC",NA
"LISS AMERICA LLC",NA
"BAUSCH LOMB IRELAND","00187"
"DEXCEL LTD","64239"
"PRAXAIR MEXICO",NA
"MDGH",NA
"ZUREX PHARMA",NA
"ALNYLAM PHARMS INC","71336"
"VANCOCIN ITALIA",NA
"AIZANT","69025"
"TETRAPHASE PHARMS","71773"
"HARMONY","72028"
"AKCEA THERAPS","72126"
"ZHEJIANG JUTAI PHARM","41366"
"NANOMI",NA
"AXSOME MALTA","81968"
"SPH ZHONGXI PHARM",NA
"VKT PHARMA",NA
"ANNORA","71785"
"WINDER LABS LLC","75826"
"IXORA LIFESCIENCE",NA
"SAGE THERAP","53462"
"ACERTIS PHARMS","72989"
"JDP",NA
"CHIA TAI TIANQING","71731"
"CMG PHARM CO LTD","43136"
"ACCORD","16729"
"ALEMBIC GLOBAL","15955"
"NOVADAQ TECH",NA
"AMNEAL IRELAND LTD","00115"
"ESPERION THERAPS INC","72426"
"UNIQUE PHARM",NA
"UNIV ALAHAMA BIRM",NA
"NASPRESS",NA
"RELIANCE LIFE","58458"
"CRISTAL ASU LLC",NA
"UNIV WISCONSIN",NA
"MSN PHARMS INC",NA
"CARWIN PHARM ASSOC","15370"
"RELIANCE LIFE SCI","58458"
"ANDOR PHARMS",NA
"NOVUGEN","82293"
"FOLDRX PHARMS",NA
"CUSTOPHARM INC",NA
"ELITE PHARM SOLUTION","64850"
"AMTA",NA
"PRAXGEN PHARMS",NA
"ZHEJIANG YONGTAI","41366"
"SWISS PHARM","60232"
"NIVAGEN PHARMS INC","75834"
"BRIGHTGENE",NA
"NIPPON SHINYAKU","24509"
"G AND W LABS INC","26550"
"HETERO LABS LTD VI","68554"
"PRAXGEN",NA
"HISAMITSU","46581"
"KARYOPHARM THERAPS","72237"
"UNIVERSAL INDUSTRIAL GASES, INC","49911"
"RAFA LABS LTD","71053"
"SHIELD TX","52410"
"ANDAS 5 HOLDING",NA
"P AND L DEVELOPMENT","49580"
"SHORLA","81927"
"BE PHARMS",NA
"RVL PHARMS",NA
"UNIV CA LOS ANGELES",NA
"UNIV OF CA SAN FRAN",NA
"I3 PHARMS",NA
"OVERSEAS",NA
"TENSHI","72983"
"SK LIFE","54828"
"SHANDONG LUYE","35369"
"AVEO PHARMS","45629"
"FENNEC PHARMS INC","73077"
"COMMAVE THERAP",NA
"TALICIA HOLDINGS",NA
"LIQUIDIA TECH","72964"
"KNACK",NA
"ALTHERA PHARMS",NA
"GLOBAL BLOOD THERAPS","43695"
"CISEN",NA
"TG THERAPS",NA
"TEVA PHARMS INC","00093"
"SARFE PHARMS",NA
"AADI SUB","80803"
"HARMAN FINOCHEM","82638"
"DAITO",NA
"PROPEL PHARMA",NA
"UTOPIC PHARMS",NA
"MC2",NA
"KOWA PHARMS","66869"
"IMPEL PHARMS","77530"
"AET PHARMA",NA
"UNITED RES LABS","00327"
"NOBELPHARMA","73683"
"PD PARTNERS",NA
"NANJING","82972"
"CRYSTAL",NA
"NOVUGEN PHARMA SDN","82293"
"PERRIGO UK FINCO","00113"
"ULTRAGENYX PHARM INC","69794"
"AURINIA","75626"
"A G L WELDING SUPPLY CO INC","10297"
"GUANGDONG SUNHO","71584"
"ASPIRO",NA
"CURIUM","69945"
"GUANGZHOU NOVAKEN","60771"
"ITERUM THERAP","81153"
"DECIPHERA PHARMS","73207"
"VITRUVIAS","69680"
"SCIECURE",NA
"TELIX","74725"
"WUXI","65050"
"STRONGBRIDGE",NA
"CONBA USA",NA
"STERINOVA INC",NA
"ZEALAND PHARMA","80644"
"IMS LTD",NA
"FERTIN PHARMA","63443"
"MSD",NA
"EMERGENT BIODEFENSE","60492"
"PATHEON SOFTGELS","63552"
"LIVZON GRP",NA
"NORWICH",NA
"ARS PHARMS OPERATION",NA
"BIOCON GENERICS","70377"
"KADMON PHARMS LLC","79802"
"LABS FARMS ROVI SA","26550"
"ACER","72542"
"ON TARGET LABS","11673"
"VIFOR INTL","53436"
"ZEVRA DENMARK","70040"
"NE RX PHARMA",NA
"PYROS PHARMS",NA
"CHENGDU","71432"
"APELLIS PHARMS","73606"
"METHODIST","69864"
"OCUVEX THERAP","84826"
"CATALENT PHARMA",NA
"AKEBIA","59922"
"STERISCIENCE","82449"
"BRIGHT","85944"
"GEN ILAC",NA
"HAINAN POLY","14335"
"BIOXCEL","81092"
"BLUE WATER BIOTECH","14448"
"AXSOME","81968"
"KK BCJ-94",NA
"LEXENPHARM",NA
"ZHEJIANG JIUZHOU","41366"
"RUBICON","85612"
"AGEPHA PHARMA FZ","82867"
"SABA ILAC SANAYIVE",NA
"BIOGEN MA","59627"
"MYCOVIA PHARMS","74695"
"MARINUS",NA
"ZENARA",NA
"CALLIDITAS","81749"
"ARCUTIS","80610"
"CHENGDU SHUODE","71432"
"BRACCO","00270"
"LOXO ONCOL","71777"
"HANDA THERAP",NA
"BAMF","81759"
"BROOKS STERISCIENCE","81962"
"ALLECRA THERAPS",NA
"AGIOS PHARMS INC","71334"
"LEXICON PHARMS INC","70183"
"HUMANWELL","53345"
"NEW HEIGHTSRX",NA
"LUYE INNOMIND PHARMA",NA
"TRAVERE","68974"
"ATNAHS PHARMA US","72684"
"GALENICUM HLTH",NA
"HOPEWELL PHARMA","83198"
"KANCHAN HLTHCARE","85742"
"ALEMBIC THERAP","15955"
"I 3 PHARMS",NA
"ASCENDIS PHARMA BONE","73362"
"AMYLYX",NA
"SOLENO THERAP","83860"
"BIOGEN US","59627"
"NANJING KING FRIEND","82972"
"LEPU PHARM","82137"
"ENTASIS THERAP",NA
"FAMYGEN LIFE SCI",NA
"CONTINENTAL CARBONIC PRODUCTS, INC.","64321"
"BEIJING JIALIN","71073"
"AYRMID PHARMA",NA
"SENTISS PHARMA",NA
"AOP HLTH US",NA
"MUNDIPHARMA",NA
"SQUARE PHARMS PLC","76483"
"NANJING DELOVA","82972"
"SPRINGWORKS","82448"
"HARM REDUCTION THERP","82954"
"PHARMING","71274"
"ORASIS PHARMS","83661"
"SATSUMA PHARMS","76978"
"ALEXION PHARMS INC","25682"
"INDIES PHARMA","83032"
"ZHEJIANG XIANJU","41366"
"DEVA HLDING",NA
"COSETTE PHARMS NC","00713"
"JIANGXI KVVIT PHARM","82001"
"B BETTER","21130"
"LENZ THERAP","84226"
"KAMAT",NA
"AM GENOMICS",NA
"PRM PHARMA",NA
"VILIN BIO MED",NA
"XTM CONSULTING",NA
"X4 PHARMS",NA
"ZHUHAI","83513"
"MILLICENT PR","72495"
"EVEREST LIFESCIENCES","83098"
"OWP PHARMS",NA
"SOMERSET THERAP","70069"
"TONIX","70792"
"CORSTASIS THERAP","84388"
"BRILLIAN PHARMA",NA
"ANTHEA PHARMA","83854"
"FORESEE PHARMS",NA
"ROSEMONT PHARMS",NA
"MITCHELL WEDLING SUPPLY","72276"
"VALEANT LUXEMBOURG",NA
"SANOFI SYNTHELABO","00024"
"COHERUS BIOSCIENCES INC","70114"
"SAMSUNG BIOEPIS CO LTD",NA
"ASTRAZENECA UK LTD","00186"
"MYLAN GMBH","00378"
"KASHIV BIOSCIENCES LLC",NA
"DOMPE FARMACEUTICI",NA
"INNATE PHARMA",NA
"NOVIMMUNE S.A.",NA
"ABLYNX NV",NA
"IMMUNOMEDICS INC",NA
"Lundbeck Seattle BioPharmaceuticals, Inc.","67386"
"EVIVE BIOTECHNOLOGY",NA
"HORIZON THERAPEUTICS IRELAND","74683"
"ENDO GLOBAL AESTHETICS LTD","00254"
"SPECTRUM PHARMS","67525"
"MORPHOSYS US INC",NA
"PHARMAESSENTIA CORP","73536"
"ASCENDIS PHARMA ENCOCRINOLOGY DIV A/S","73362"
"PFIZER IRELAND PHARMACEUTICALS","00013"
"ARGENX BV","73475"
"ADC Therapeutics SA","52856"
"CELLTRION","72606"
"IMMUNOCORE LTD","80446"
"AMNEAL PHARMS LLC","00115"
"BEIGENE",NA
"ALVOTECH USA INC",NA
"CELLTRION, INC.","72606"
"FORMYCON AG",NA
"SHANGHAI HENLIUS BIOTECH","73557"
