"firm","labeler_code"
"OCULAR THERAPEUTIX","70382"
"CENTRAL WELDING SUPPLY","70151"
"NEXAIR LLC","12213"
"MCGUFF","67157"
"GUARDIAN DRUG","53041"
"INTERSECT ENT INC","10599"
"EVOKE PHARMA INC","72089"
"EXELTIS USA INC","00642"
"CYCLE","70709"
"ACACIA","71390"
"THE J MOLNER","83148"
"HAINAN POLY PHARM","14335"
"SCPHARMACEUTICALS","71767"
"SAGENT","25021"
"BRAEBURN","58284"
"AUCTA","73289"
"ATHEM","73152"
"UBI","72843"
"AKARX INC","71369"
"ORYZA","72516"
"CIPLA USA","69097"
"ARRAY BIOPHARMA INC","70255"
"ETON","71863"
"IONETIX","71162"
"MISEMER","00276"
"TREVENA","71308"
"E5 PHARMA INC","13517"
"CIVICA","72572"
"SERVIER","72694"
"AGNITIO","72134"
"NEURELIS INC","72252"
"BAYER HEALTHCARE","00026"
"EPIZYME INC","72607"
"UROGEN PHARMA","72493"
"A-OX WELDING SUPPLY CO, INC.","10297"
"ARDELYX INC","73154"
"XERIS","72065"
"CORIUM","65038"
"MEDUNIK","71770"
"TIANJIN KINGYORK","82094"
"BLUEPRINT MEDICINES","72064"
"HUONS","73293"
"SOLARIS PHARMA CORP","73473"
"ZMI PHARMA","84571"
"TAGI","51224"
"PANGEA","81279"
"AMIVAS","73607"
"BEONE MEDICINES USA","72579"
"ALKERMES INC","65757"
"SEAGEN","51144"
"ROBERTS OXYGEN CO INC","46123"
"RHYTHM","72829"
"INNOGENIX","71247"
"MARIUS","80603"
"OYSTER POINT PHARMA","73521"
"ILMO Products Company","51486"
"THERACOSBIO","82381"
"CHEMOCENTRYX","73556"
"CORMEDIX","72990"
"AVADEL CNS","13551"
"AIR LIQUIDE CANADA INC","74709"
"IDORSIA","80491"
"MEDRX USA","83708"
"AFAXYS","50102"
"PHATHOM","81520"
"AMICI PHARMA","69292"
"EYENOVIA","81046"
"SCIENTURE","83245"
"ORIENT PHARMA","76333"
"KINDOS","40033"
"ZHEJIANG POLY PHARM","72673"
"ORPHALAN","81802"
"FIDELITY BIOPHARMA","82919"
"GENERAL AIR SERVICE & SUPPLY COMPANY","21220"
"BRIDGEBIO PHARMA","82228"
"MIDDLESEX GASES TECHNOLOGIES, INC.","63961"
"EVITA SOLUTIONS","84670"
"GUERBET","67684"
"SQ INNOVATION","81137"
"ABSOLUTE AIR, LLC","82666"
"TARSUS","81942"
"GERON","82959"
"SOLUBIOMIX","69499"
"PHATHOM PHARMACEUTICALS INC","81520"
"SHORLA ONCOLOGY","81927"
"H2-PHARMA","61269"
"KALVISTA","82928"
"HAUN SPECIALTY GASES INC","14961"
"TELIX INNOVATIONS","84552"
"WSM SUPPLIER LLC","84120"
"WELDERS SUPPLY COMPANY OF LOUISVILLE INC","84078"
"GENERAL DISTRIBUTING COMPANY","10451"
"BIOGEN","59627"
"TEVA RESPIRATORY LLC","59310"
"EVOLUS INC","72301"
"CHIESI USA INC","10122"
"SERVIER PHARMA LLC","72694"
"STEMLINE THERAPEUTICS INC","72187"
"TANVEX BIOPHARMA USA INC","72374"
"REVANCE THERAPEUTICS, INC.","72960"
"DAIICHI SANKYO","65597"
"VIELA BIO","72677"
"MACROGENICS INC","74527"
"Y-MABS THERAPEUTICS INC","73042"
"RIDGEBACK BIOTHERAPEUTICS","80673"
"BIOCON BIOLOGICS INC","83257"
"PROVENTION BIO INC","73650"
"BIO-THERA SOLUTIONS LTD","82143"
"HUGEL INC","81165"
"TG THERAPEUTICS, INC","73150"
"BOEHRINGER INGELHEIM PHARMACEUTICALS INC","00597"
"IMMUNOGEN INC","72903"
"GENMAB US, INC.","82705"
"SANOFI-AVENTIS U.S. LLC","00024"
"ACCORD BIOPHARMA INC.","69448"
"CSL BEHRING LLC","00053"
"FRESENIUS KABI USA LLC","63323"
"HIKMA PHARMACEUTICALS USA INC","00054"
"MYLAN PHARMS INC","00378"
"LUNDBECK PHARMS LLC","67386"
"BAUSCH","00187"
"VEROSCIENCE",NA
"NUVO PHARMS INC",NA
"FOUGERA PHARMS","00168"
"CHEMISCH FBRK KRSSLR",NA
"PHARMOBEDIENT",NA
"GLAXO GRP LTD",NA
"VIATRIS","00037"
"ASTRAZENECA AB","00186"
"SOMERSET","70069"
"THE MEDICINES CO","71705"
"SKYEPHARMA AG",NA
"BAYER HLTHCARE","00026"
"BIOVAIL LABS INTL",NA
"ENDO OPERATIONS","00254"
"PFIZER INC","00013"
"ASTELLAS","00469"
"NOVEN PHARMS INC","68968"
"ANI PHARMS",NA
"PROF DSPLS",NA
"MENARINI INTL",NA
"EMERGENT","60492"
"3M",NA
"ENDO PHARMS","00254"
"CIPHER PHARMS INC","84635"
"JANSSEN PHARMS","50458"
"GALEN SPECIALTY",NA
"VICURON HOLDINGS",NA
"TEVA","00093"
"COVIS","70515"
"BRISTOL-MYERS",NA
"BAUSCH AND LOMB INC","00187"
"SAGE PRODS","53462"
"ORTHO MCNEIL PHARM",NA
"VALEANT PHARMS",NA
"SB PHARMCO","58400"
"VANTIVE US HLTHCARE","00941"
"LANTHEUS MEDCL","11994"
"CRESCITA THERAP",NA
"CP PHARMS",NA
"OTSUKA","59148"
"SUN PHARMA CANADA",NA
"BAUSCH AND LOMB","00187"
"RISING","16571"
"DEPOMED INC",NA
"GALDERMA LABS LP","00299"
"FUJISAWA HLTHCARE",NA
"SANOFI AVENTIS US","00024"
"CUBIST PHARMS",NA
"TEVA PHARMS INTL","00093"
"EVUS",NA
"TAKEDA PHARMS USA","00944"
"MEDA PHARMS",NA
"BRISTOL MYERS SQUIBB",NA
"SUN PHARM INDUSTRIES","43136"
"TEVA PHARMS","00093"
"MAYNE PHARMA COMMRCL","50261"
"ROMARK",NA
"PF PRISM CV",NA
"WARNER CHILCOTT","69428"
"CHIESI","10122"
"TEVA BRANDED PHARM","00093"
"LEO PHARMA AS","50222"
"APIL",NA
"WYETH PHARMS INC","00005"
"NUVO PHARMS",NA
"DUCHESNAY","55494"
"AVANIR PHARMS","64597"
"SALIX PHARMS","65649"
"BERLEX LABS",NA
"GILEAD","55135"
"RECORDATI RARE","52276"
"SUCAMPO PHARMA LLC",NA
"CHATTEM SANOFI","41167"
"DIALYSIS SUPS",NA
"LAB SALVAT",NA
"CPPI CV",NA
"INA PHARMS",NA
"PFIZER","00013"
"CHEPLAPHARM",NA
"SUN PHARM INDS INC","43136"
"CONCORDIA",NA
"KARO HLTHCARE","84485"
"ADVANZ PHARMA","59212"
"SYNTHON PHARMS","63672"
"JANSSEN PRODS","50458"
"ALCON LABS INC","00065"
"MMT",NA
"NODEN PHARMA",NA
"MSD SUB MERCK","00006"
"FDN CONSUMER","11344"
"SCHERING",NA
"DEPROCO",NA
"WAYLIS THERAP","80725"
"CUMBERLAND PHARMS","66220"
"PHARMACARE","52053"
"WYETH PHARMS","00005"
"KING PFIZER","57955"
"CLINIGEN","76310"
"HISAMITSU PHARM CO","46581"
"DEXCEL PHARMA","64239"
"JAZZ PHARMS","68727"
"VERTICAL PHARMS","68025"
"BTG INTL",NA
"LILLY","00002"
"R-PHARM US LLC","43136"
"DOW PHARM","43136"
"IPSEN PHARMA","15054"
"OSMOTICA PHARM US",NA
"POWDER PHARMS","61388"
"VIIV HLTHCARE","49702"
"FEINSTEIN","13267"
"NYCOMED US INC",NA
"SANOFI","00024"
"MYLAN LABS LTD","00378"
"SEPTODONT HOLDING","00362"
