firm,ndc_firm_id
"NIPPON ZENYAKU KOGYO CO., LTD.",24509
Washington State University,68428
Biological E Limited,83538
SHENZHEN INSTITUTES OF ADVANCED TECHNOLOGY,84449
"Shenzhen Hornetcorn Biotechnology Company, Ltd.",84449
"CHANGZHOU DEZE MEDICAL SCIENCE CO., LTD",59050
Chang Gung University,43337
The Trustees of Boston College,40098
NORDIC REBALANCE A/S,69918
The United States Government as Represented by the Department of Veterans Affairs,58733
"BIOLOGICAL MIMETICS, INC.",83538
Texas Tech University System,85811
THE UNITED STATES OF AMERICA AS REPRESENTED BY THE SEC. OF THE DEPT. OF HEALTH AND HUMAN SERVICES,58733
"Advanced Biologics, LLC",69488
Genesis Medical Devices LLC,52481
"CareFusion 2200, Inc.",54365
INTEGRATIVE RESEARCH LABORATORIES SWEDEN AB,85306
"VICTOR PHARMA CO., LTD. ZHENJIANG",66961
BIOMEDICAL RESEARCH FOUNDATION OF THE ACADEMY OF ATHENS,24562
Dr. Reddy's Laboratories SA,55111
"First Wave Bio, Inc.",53117
"RESEARCH INSTITUTE FOR NUTRITION AND AGING CO., LTD.",52654
"Quality IP Holdings, LLC",63978
Industrial Cooperation Foundation Jeonbuk National University,42241
Southern Methodist University,61567
"Lawrence Livermore National Security, LLC",82499
FOUNDATION OF SOONGSIL UNIVERSITY-INDUSTRY COOPERATION,85739
"NAKED BIOME, INC.",81104
IZUN PHARMACEUTICALS CORP.,49589
"NEW YORK SOCIETY FOR THE RUPTURED AND CRIPPLED, MAINTAINING THE HOSPITAL FOR SPECIAL SURGERY",82355
"SHANGHAI FOREFRONT PHARMACEUTICAL CO., LTD.",73557
"TP Therapeutics, Inc.",79952
"Tianjin Institute of Pharmaceutical Research Co., Ltd.",33217
DSO National Laboratories,82076
Albert Bartlett & Sons (Airdrie) Limited,83002
General Electric Company,21220
BEIJING BIO-TARGETING THERAPEUTICS TECHNOLOGY INC.,71073
Oxford Immunotec Limited,69584
InnoCore Technologies Holding B.V.,70924
"Yabao Pharmaceutical Group Co., Ltd.",51990
Trinity Laboratories Inc.,54295
MELINTA SUBSIDIARY CORP.,70842
"GEORGIA STATE UNIVERSITY RESEARCH FOUNDATION, INC.",54622
"Orca Biosystems, Inc.",82939
Japan Health Sciences Foundation,87130
"UNITED BIOMEDICAL, INC.",58733
"VLP Biotech, Inc.",81309
University of Newcastle upon Tyne,60215
"Zhejiang Jingxin Pharmaceutical Co., Ltd.",70412
"SHANGHAI JINGXIN BIOMEDICAL CO., LTD.",73557
"Guangzhou Innocare Pharma Tech Co., Ltd.",84148
"SHENZHEN HIGHTIDE BIOPHARMACEUTICAL, LTD.",84449
"SHANGHAI HAIJU BIOLOGICAL TECHNOLOGY CO., LTD.",73557
Janssen Sciences Ireland Unlimited Company,50458
BIOTECH RNA PHARMACEUTICALS GMBH,81309
"New York Stem Cell Foundation, Inc.",82355
"AI Therapeutics, Inc.",79952
University of Seoul Industry Cooperation Foundation,60215
University of Manitoba,60215
WAVE LIFE SCIENCES LTD.,80042
Intelligent Synthetic Biology Center,81632
"ST&T INTERNATIONAL, INC.",50633
"SARAYA CO., LTD.",69674
National Institute of Advanced Industrial Science and Technology,82076
CHANGZHOU LONGTHERA PHARMACEUTICALS INC.,59050
THE NATIONAL INSTITUTE FOR BIOTECHNOLOGY I,82076
"The United States of America, as represented by the Secretary of Homeland Security",58733
GUANG ZHOU YUAN TU BIOLOGICAL AND CHEMICAL TECHNOLOGY CO. LTD,75779
"SHANDONG XINCHUANG BIOTECHNOLOGY CO., LTD.",82061
The Methodist Hospital,69864
NATIONAL DONG HWA UNIVERSITY,82076
DESERT LABS AGRICULTURE COOPERATIVE ASSOCIATION LTD.,69145
"ZHEJIANG KANGLAITE GROUP CO., LTD.",70412
The United States of America as represented by the Secretary of the Department of,58733
UNIVERSITY OF GENEVA,60215
HOUSE WELLNESS FOODS CORPORATION,85242
Guangdong Moltech Pharma Co. Ltd.,85279
"IMPACT THERAPEUTICS, INC.",85528
argenx BVBA,73475
"Guangdong Xiangxue Life Sciences, Ltd.",85279
"INNOVENT BIOLOGICS (SUZHOU) CO., LTD.",70335
D-GEN LIMITED,69662
UNIVERSITY OF MISSISSIPPI,60215
Wockhardt Limited,64679
THE REGENTS OF TE UNIVERSITY OF CALIFORNIA,76326
O.D. Ocular Discovery Ltd.,70382
GOOD SAMARITAN INSTITUTE FOR RESEARCH AND EDUCATION,73716
NATIONAL INSTITUTE OF AGROBIOLOGICAL SCIENCES,82076
RESEARCH & BUSINESS FOUNDATION SUNGKYUNKWAN UNIVERSITY,52654
"Medical & Biological Laboratories Co., Ltd.",62137
BOEHRINGER INGELHEIM ANIMAL HEALTH USA INC.,00597
"Kent Precision Foods Group, Inc.",51960
RECKITT BENCKISER HEALTHCARE (UK) LIMITED,52031
HUA Medicine (Shanghai) Ltd.,54155
"FGH BIOTECH, INC.",81309
BAKER HEART AND DIABETES INSTITUTE,76102
"ESM TECHNOLOGIES, LLC",80324
Shanghai Syncores Technologies Inc. Ltd.,73557
"Zhejiang Huahai Pharmaceutical Co., Ltd.",70412
"NIPPON SHINYAKU CO., LTD.",24509
NATIONAL CENTER OF NEUROLOGY AND PSYCHIATRY,82076
"APPLIED BIOSYSTEMS, LLC",81425
National University Corporation Tokyo University of Agriculture and Technology,82076
"JAPAN INNOVATION THERAPEUTICS, INC.",87130
"Broadway Holdings IV, LLC",24027
The University of Sussex,60215
"NATURAL MEDICINE INSTITUTE OF ZHEJIANG YANGSHENGTANG CO., LTD.",84181
The United States of America as represented by the Department of Veteran Affairs (Washington DC),58733
The Regents ot the Univershy of California,76326
"University System of Georgia, Valdosta State University",60215
"UNITED ANIMAL HEALTH, INC.",58733
"WE-WIN APPLIED BIO-TECH CO., LTD.",81425
CSL Behring L.L.C.,00053
Cadila Pharmaceuticals Ltd.,71209
LABORATORIO FARMACEUTICO C.T. S.R.L.,65131
GVK BIOSCIENCES PRIVATE LIMITED,83100
"Beijing Innocare Pharma Tech Co., Ltd.",71073
"Yuma Therapeutics, Inc.",87003
B-CREATIVE SWEDEN AB,82660
North Carolina Agricultural and Technical State University,42887
NORTH CAROLINA CENTRAL UNIVERSITY,42887
MERCK SERONO S/A,00006
NG Solutions LTD,79739
University of Pretoria,60215
Bausch Health Ireland Limited,00187
SHANGHAI YUANXIN BIOCHEMICAL SCIENCE AND TECHNOLOGY CO. LTD.,73557
"The Henry Jackson Foundation for the Advancement of Military Medicine, Inc.",00404
FAR EASTERN MEMORIAL HOSPITAL,68915
Mission Therapeutics Limited,65954
Medi&Gene Inc.,66345
Adaptimmune Limited,83205
"ASCEND BIOPHARMACEUTICALS, INC.",67877
"AMI COSMETIC CO., LTD.",71440
The University of Newcastle,60215
"Institute of Molecular Genetics, Academy of Sciences of the Czech Republic",55330
"442 Ventures, LLC",68678
GLAXOSMITHKLINE CONSUMER HEALTHCARE HOLDINGS (US) LLC,00173
"GRIFOLS, S.A.",13533
"Mark G. DeGiacomo, Interim Trustee",78482
UNIVERSITY OF TSUKUBA,60215
INTERNATIONAL SOCIETY FOR DRUG DEVELOPMENT S.R.L.,50633
Merck Sharp & Dohm Corp.,00006
Shanghai Xunhe Pharmaceutical Technology Co. Ltd.,73557
"Shanghai Lumosa Therapeutics Co., Ltd.",73557
"G-Bio Pharma Tech Co., Ltd.",77595
Trustees of Tufts College,40098
"Q THERAPEUTICS, INC.",79952
"GREEN LIFE BIOTECH, LLC",61152
"Ben Research, Inc.",52654
CSPC DOPHEN CORPORATION,24075
"Fosun Orinove Pharmatech, Inc.",72266
South Alabama Medical Science Foundation,51400
"GUANGZHOU CELLPROTEK PHARMACEUTICAL CO., LTD",84148
Legacy Healthcare Ltd.,68645
PVP LABS PTE.LTD.,54288
HOSPIRA AUSTRALIA PTY LTD,00409
NORTHERN SYDNEY LOCAL HEALTH DISTRICT,82716
"Valneva USA, Inc.",42515
Valneva Austria GmbH,42515
NIPPON KAYAKU KABUSHIKI KAISHA,24509
"Hangzhou Innogate Pharma Co., Ltd.",72823
LIMITED LIABILITY COMPANY “ONCOMAX” (LLC “ONCOMAX”),69662
"STEALTH BIOLOGICS, LLC",72507
"EyePoint Pharmaceuticals, Inc.",71879
ZHEJIANG ACADEMY OF FORESTRY,70412
San Diego State University Research Foundation,85217
UNIVERSITY COURT OF THE UNIVERSITY OF ST ANDREWS,60215
THE UNIVERSITY OF LIVERPOOL,60215
"SHANGHAI KINBIO TECH.CO., LTD.",73557
UNIVERSITY COLLEGE LONDON,60215
National University Corporation Tottori University,82076
"NANJING RUIYING RUNZE BIOPHARMAEUTICAL TECHNOLOGY CO., INC.",87125
"Janssen BioPharma, Inc.",50458
Biotech Cell & Gene thrapies GMBH,81309
"Deaconess Medical Center, Inc.",61903
"Brigham and Women's Hopsital, Inc.",24450
"ARIZONA BOARD OF REGENTS, A BODY CORPORATE OF THE STATE OF ARIZONA ACTING FOR AND ON BEHALF OF ARIZONA STATE UNIVERSITY",61973
The United States Government as Represented by the Department of Veterans,58733
BOW RIVER LLC,84601
AIDANCE SKINCARE & TOPICAL SOLUTIONS LLC,24909
"United-AH II, LLC",58733
SOUTH DAKOTA BOARD OF REGENTS,51400
BAYER NEW ZEALAND LIMITED,00026
"JB SCIENTIFIC, LLC",69113
"ZHEJIANG AUSUN PHARMACEUTICAL CO., LTD.",70412
"WUXI SHUANGLIANG BIOTECHNOLOGY CO., LTD.",65050
MERCK & CIE,00006
JINAN UNIVERSITY,83988
Beijing Mabworks Biotech Co. Ltd.,71073
ORCA PHARMACEUTICALS LIMITED,82939
Synchronicity,69949
Matrix Biology Institute,87156
Boise State University,82323
The Research Foundation of the State University of New York,52654
"RADIUS PHARMACEUTICALS, INC.",70539
"JIANGSU CAREFREE PHARMACEUTICAL CO., LTD",77573
"Lundbeck La Jolla Research Center, Inc.",67386
"Tianjin Michele Sci-Tech Development Co., Ltd.",33217
"OTSUKA CHEMICAL CO., LTD.",59148
THE NATIONAL INSTITUTE FOR BIOTECHNOLOGY IN THE NEGEV LTD.,82076
Institute of Molecular Biology and Genetics National Academy of Science of Ukraine,55330
"Wilson Wolf Manufacturing, LLC",51105
RNA DIAGNOSTICS INC.,50914
"Hangzhou Redox Pharmatech Co., Ltd.",72823
"Industrial Farmacéutica Cantabria, S.A.",42241
"SI GROUP, INC.",49687
"Impact Biomedicines, Inc.",85528
ZHEJIANG ACADEMY OF MEDICAL SCIENCES,70412
NANJING UNIVERSITY,87125
"Kiniksa Pharmaceuticals, GmbH",73604
SERVICES MEDICAUX ARNOLD ET JOAN ZIDULKA INC.,43621
"JIANGSU NHWALUOKANG PHARMACEUTICAL RESEARCH AND DEVELOPMENT CO., LTD.",77573
"United States of America, as represented by the Secretary, Department of Health and Human Services",58733
UNIVERSITY OF ULSAN FOUNDATAION FOR INDUSTRY COOPERATION,60215
University of Maryland,60215
UNIVERSITY OF TECHNOLOGY SYDNEY,60215
"GLAXOSMITHKLINE BIOLOGICALS, NIEDERLASSUNG DER SMITHKLINE BEECHAM PHARMA GMBH & CO KG",00173
Providence Health & Services—Oregon,60379
Meridian Lab,50402
UNITED TECHNOLOGIES CORPORATION,58733
LAUREL THERAPEUTICS LTD.,70951
TIANJIN MEDICAL UNIVERSITY,33217
"IGM Biosciences, Inc.",83100
MESOBLAST INTERNATIONAL SARL,73648
The University of Greenwich,60215
ENA THERAPEUTICS PTY LTD,79952
Golden Biotechnology Corporation,87037
ADVANCED BIODESIGN,69488
The University of Durham,60215
MD HEALTHCARE INC.,71093
"K.L.R.M., LLC",87034
"La Jolla Pharma, LLC",68547
"Virginia Tech Intellectual Properties, Inc.",60563
Green Cross Corporation,61152
"NANJING YOUYI MEDICAL TECHNOLOGY CO., LTD",87125
"Nanjing Legend Biotech Co., Ltd",87125
3 IN 1 DENTAL PLLC,61578
KIND CONSUMER LIMITED,82976
"Alpha-1 Biologics, LLC",69335
NIPPON MEDICAL SCHOOL FOUNDATION,24509
The Institute of Cancer Research,55330
Desert King International LLC,69145
"ZHEJIANG STRONG PHARMACEUTICAL CO., LTD.",70412
"RAPID PATHOGEN SCREENING, INC.",83569
NANJING DIANSU BIOLOGICAL TECHNOLOGY CO. LTD,87125
"Alliance Discovery, Inc.",72238
Technical institute of physics and chemistry of the chinese academy of sciences,77908
Pharmacosmos Holding A/S,73594
NATIONAL DEFENSE EDUCATION AND RESEARCH FOUNDATION,82076
Sol-Gel Technologies Ltd.,80324
SEN-JAM PHARMACEUTICAL INC.,62211
AOP ORPHAN IP AG,84381
"SHANGHAI ZIYUAN PHARMACEUTICAL CO., LTD.",73557
National University of Ireland Maynooth,82076
SOUTH CHINA AGRICULTURAL UNIVERSITY,51400
INDIAN INSTITUTE OF TECHNOLOGY BOMBAY,60980
SYN-NAT PRODUCTS ENTERPRISE LLC,10018
University of New York,60215
Foundation for Translational Science,85739
ALMA MATER STUDIORUM—UNIVERSITA' DI BOLOGNA,69747
ECOLAB USA INC.,47593
PLANT ADVANCED TECHNOLOGIES PAT,84009
"Harrow Health, Inc.",82667
"Chang Gung Memorial Hospital, Chiayi",43337
Performance Labs Pte. Ltd.,51042
International Vaccine Institute,50633
China State Institute of Pharmaceutical Industry,76305
NINGBO WENDA PHARMA TECHNOLOY LTD.,47993
"HUMANWELL HEALTHCARE (GROUP) CO., LTD.",53345
HUBEI BIO-PHARMACEUTICAL INDUSTRIAL TECHNOLOGICAL INSTITUTE INC.,82996
"The Regents of the University of Colorado, a body",76326
"J. Craig Venter Institute, Inc.",13859
"CB Therapeutics, Inc.",79952
RSR Limited,69662
Fougera Pharmaceuticals Inc.,00168
The Charlotte Mecklenberg Hospital Authority,64646
University of North Carolina at Greensboro,60215
"United States Government as represented by the Secretary, Department of Health and Human Services",58733
INDIAN INSTITUTE OF SCIENCE,60980
"GUANGZHOU INSIGHTER BIOTECHNOLOGY CO., LTD.",84148
"ENB Therapeutics, Inc.",79952
"NB HEALTH LABORATORY CO., LTD.",84992
MICREOS B.V.,73105
Bayer Corp Science Aktiengesellschaft,00026
ACTAVIS GROUP PTC EHF,00228
Swiss VX Venentherapie und Forschung GmbH,60232
Institute of Microbiology Chinese Academy of Sciences,55330
"SHENZHEN QINGYAQIRUI BIO-TECH CO., LTD.",84449
"The United States Government, as Represented by the Secretary of the Department of Health and Human Services",58733
CHINA PHARMACEUTICAL  UNIVERSITY,76305
DALIAN MEDICAL UNIVERSITY,50685
"SURFACE ONCOLOGY, LLC",72344
"CROWN BIOSCIENCE, INC. (TAICANG)",00316
"Chongqing Antixin Biotechnology Co., LTD.",85751
"Alpha To Omega Pharmaceutical Consultants, Inc.",69335
National University Corporation Yamaguchi University,82076
Arizona Board of Regents c/o Northern Arizona University,61973
Research Foundation of the City University of New York,52654
R-Pharm Overseas Inc.,77039
Lee Pharma Limited,69662
United States of America as represented by the Secretary of the Air Force,58733
Bioverativ USA Inc.,71104
"JSR Life Sciences, LLC",84890
ACCURATE MEDICAL THERAPEUTICS LTD.,72987
"BMI KOREA CO., LTD",73391
NLS Pharmaceutics AG,74157
University of Prince Edward Island,60215
"SHANGHAI SYNERGY PHARMACEUTICAL SCIENCES, LTD.",73557
"Zhuhai Essex Bio-Pharmaceutical Co., Ltd.",83513
Saint Regis Mohawk Tribe,72784
XW LABORATORIES INC.,70188
Chain Antimicrobials Oy,68016
BIOTECH PHARMACEUTICAL CO. LTD.,81309
"Royal Holloway, University of London",68791
The University of Toldeo,60215
ALLERGAN HOLDINGS FRANCE S.A.S.,00023
SHIJIAZHUANG PHARMA GROUP NBP PHARMACEUTICAL CO.,84664
"FE3 MEDICAL, INC.",62137
"ASPEN PARK PHARMACEUTICALS, INC.",42914
TDW Group,49687
MAYNE PHARMA INTERNATIONAL PTY. LTD,50261
International Business Machines Corporation,50633
"BEIJING XINDE RUNXING TECHNOLOGY CO., LTD.",71073
"PLANT HEALTH CARE, INC.",84009
"LABORATORIO MEDINFAR PRODUTOS FARMACEUTICOS, SA",65131
"HMI MEDICAL INNOVATIONS, LLC",62137
Blue Blood Biotech Corp.,22431
IMPERIAL COLLEGE INNOVATIONS LIMITED,83837
RIN INSTITUTE INC.,55330
SHANGHAI ALLIST PHARMACEUTICAL AND MEDICAL TECH CO,73557
Peter und Traudl Engelhorn-Stiftung Zur Förderung der Lebenswissenschaften,85443
The University Court of the University of Glasgow,60215
Center for Infectious Disease Research,82800
Institute for Systems Biology,55330
University Hospital Antwerp,60215
THE CENTER FOR HUMAN REPRODUCTION (CHR),82800
NATIONAL UNIVERSITY CORPORATION GUNMA UNIVERSITY,82076
NATIONAL CENTER FOR GERIATRICS AND GERONTOLOGY,82076
"Shenzhen TargetRx, Inc.",84449
"Changzhou Jiekai Pharmatech Co., LTD.",59050
EAST CHINA UNIVERSITY OF SCIENCE AND TECHNOLOGY,72808
"WUHAN VISION PHARMACEUTICAL TECHNOLOGY CO., LTD.",72845
SHANGHAI BEGREAT PHARMATECH,73557
Zhejiang Subtropical Crops Research Institute,70412
NATIONAL UNIVERSITY CORPORATION UNIVERSITY OF TOYAMA,82076
Astellas Deutschland GmbH,00469
COOL-4-HORSES B.V.,70288
Novavax AB,80631
NY State Psychiatric Institute,62481
"SICHUAN INLU WEITE PHARMACEUTICAL TECHNOLOGY CO., LTD.",87215
"Sichuan Kelun Pharmaceutical Research Institute Co., Ltd.",87215
"The United States of America, as represented by National Institute of Health",58733
BEIJING INSTITUTE OF MICROBIOLOGY AND EPIDEMIOLOGY,71073
"Innovative Cellular Therapeutics Holdings, Ltd.",57362
LABORATOIRE MEDIDOM SA,63388
"Beijing An Jian Xi Bio-Medical Technology Co., Ltd.",71073
Zhengzhou Granlen Pharmatech. Ltd.,85113
"GOOD T CELLS, INC.",73716
HOX THERAPEUTICS LIMITED,79952
"Gilead Biologics, Inc.",55135
APR APPLIED PHARMA RESEARCH SA,81425
TZU CHI UNIVERSITY,60215
New York University in Abu Dhabi Corporation,82355
KH MEDTECH SÁRL,58790
"NATURE FOUR CO., LTD",51346
180 THERAPEUTICS LP,79952
National Institute of Immunology,82076
BAYER OY,00026
"Florida Institute of Technology, Inc.",73060
"Shanghai Ai Qi Ecological Technology Co., Ltd.",73557
"FUJIAN COSUNTER PHARMACEUTICAL CO., LTD.",75543
NORTH & SOUTH BROTHER PHARMACY INVESTMENT COMPANY LIMITED,42887
THE FIRST AFFILIATED HOSPITAL OF GUANGZHOU MEDICAL UNIVERSITY,53117
GUANGZHOU INSTITUTE OF RESPIRATORY DISEASE,84148
National Centre for Polar and Ocean Research (NCPOR),82076
Foundation for Neglected Disease Research (FNDR),85739
SHANGHAI FIRST PEOPLE'S HOSPITAL,73557
"The United States of America, as represented by the Secretary, Health and Human Services",58733
"The U.S. of America, as represented by the Secretary, Dept. of Health and Human Services",78870
UNIVERSITY OF ULSAN,60215
"THE UNITED STATES GOVERNMENT, AS REPRESENTED BY THE SECRETARY OF THE ARMY, U.S.A.",58733
CELLTRION INC.,72606
C.P. Medical Corporation,62137
"Impel Neuropharma, Inc.",77530
SHIELD TX (UK) LIMITED,83059
"The Global Alliance for TB Drug Development, Inc.",59448
"SHANGHAI INSTITUTE OF ORGANIC CHEMISTRY, CHINESE ACADEMY OF SCIENCES",73557
"ONL Therapeutics, Inc.",79952
Tianjin Medical University Cancer Institute and Hospital,33217
"Jeffrey S. Brooks, Inc.",85585
SHENZHEN SALUBRIS PHARM CO LTD.,84449
"XIAMEN INNOVAX BIOTECH CO., LTD.",83698
"SHANGHAI UNITED CELL BIOTECHNOLOGY CO., LTD.",73557
"Life Kitchen, LLC",84890
LABORATOIRE MICHEL IDERNE,63388
"WUHAN JIAYU TECHNOLOGY CO., LTD.",72845
WUHAN LL SCIENCE AND TECHNOLOGY DEVELOPMENT CO. LTD.,72845
"WUHAN QR PHARMACEUTICALS CO., LTD.",72845
Mayo Foundation for Medical Engineering and Research,52670
"Guangzhou Virotech Pharmaceutical Co., Ltd.",84148
"ZY Therapeutics, Inc.",79952
XIAMEN INSTITUTE OF RARE EARTH MATERIALS,83698
"LUOXIN PHARMACEUTICAL (SHANGHAI) CO., LTD.",81894
"SHANGHAI ZHIMENG BIOPHARMA, INC.",73557
INSIGHT HEALTH LIMITED,63736
"GUANGZHOU VBIO PHARMA CO., LTD.",84148
"UNIVERSITY OF THE WITWATERSRAND, JOHANNESBURG",60215
NATIONAL HEALTH LABORATORY SERVICE,82076
Ascendis Pharma Opthalmology Division A/S,73362
GSK Consumer Healthcare SARL,11344
Florida A&M University,73060
MEDICAL BRANDS RESEARCH B.V.,62137
"GUANGZHOU LINK HEALTH PHARMA CO., LTD.",84148
SHANGHAI TIANHUI CHEMICAL PHARMACEUTICAL CO. LTD,73557
NATIONAL TAIPEI UNIVERSITY OF TECHNOLOGY,82076
UNIVERSITY OF SHARJAH,60215
University College Dublin,60215
AFT Pharmaceuticals Limited,69662
Pharmaceutical Industries Limited,62211
DFH THERAPEUTICS,79952
INTERNATIONAL-DRUG-DEVELOPMENT-BIOTECH,50633
Eco Product Group LLC,71852
"Chengdu Easton Biopharmaceuticals Co., Ltd.",82432
Jubilant Generics Limited,59746
E&B Technologies LLC,80324
Bracco Suisse SA,00270
Valneva SE,42515
"The State of Israel, Ministry of Agriculture & Rural Development, Kimron Veterinary Institute",62481
JN BIOSCIENCES LLC,83100
PCI BIOTECH AS,81309
"UNIVERSITY COLLEGE CORK—NATIONAL UNIVERSITY OF IRELAND, Cork",60215
NZP UK LIMITED,69662
MHS CARE-INNOVATION LLC,20394
The Institute for Human Genetics and Biochemistry,55330
"Ara Medical, LLC",62137
PARAGON NORDIC AB,42702
"RDG HOLDINGS, INC.",58048
PHOTOCURE ASA,10511
ANHUI MICRODELIVERY SMART MICROCAPSULE SCI & TECH CO. LTD,72030
UNIVERSITY OF WASHINGTON THROUGH ITS CENTER FOR CO,60215
CV6 Therapeutics (NI) Limited,79952
TEVA PHARMACEUTICALS AUSTRALIA PTY LTD,68546
Guangzhou Shenglu Biotech Limited Company,84148
University Medical Center Hamburg-Eppendorf,60215
ADC THERAPEUTICS SA,79952
Oxford BioMedica (UK) Limited,69584
"HUBEI SOUNDNY BIOTECHNOLOGY CO., LTD.",82996
Hubei Grand Biotechnologv Co. Ltd.,82996
THE AMERICAN UNIVERSITY IN CAIRO,58701
"ZHEJIANG TELEY BIOTECHNOLOGY CO., LTD.",70412
UNIVERSITY OF THE RYUKYUS,60215
"BEIJING HEBABIZ BIOTECHNOLOGY CO., INC.",71073
Imagine Pharma LLC,85380
"Bamboo Therapeutics, Inc.",83703
"LINDE AKTIENGESELLSCHAFT, A GERMAN CORP",59578
INSTITUTE OF APPLIED BIOCHEMISTRY,55330
Institute For Cancer Research,55330
San Diego State University,85217
King Faisal Specialist Hospital & Research Centre,57955
United Cannabis Corp.,58733
La Jolla Pharmaceuticals Company,68547
"INTERNATIONAL DEHYDRATED FOODS, INC.",50633
GlaxoSmithKline Intellectual Property Management Limited,00173
Mallinckrodt Hospital IP Limited,63004
THE ARIZONA BOARD OF REGENTS,61973
"Chongqing Ruzer Pharmaceutical Co., Ltd",85751
Hampton University,87170
Glenmark Life Sciences Limited,68462
"Blue Sky Pharmaceuticals, LLC",22431
Ohr Pharmaceutical Inc.,62211
APC Research Assets LLC,52654
"SHANGHAI YILE BIOTECHNOLOGY CO., LTD.",73557
"Wuhan YZY Biopharma Co., Ltd.",72845
S.P.C.M. SA,31720
UNIVERSITY OF HUDDERSFIELD,60215
NANJING JIANZHUANG BIOTECHNOLOGY LIMITED COMPANY,87125
"Shenzhen Zhenxing Medical Technology Co., Ltd.",84449
"SHANGHAI HAIHE PHARMACEUTICAL CO., LTD.",73557
"Shanghai Kanda Biotechnology Co, Ltd.",73557
"Shanghai Celgen Bio-Pharmaceutical Co., Ltd.",73557
University of Oregon,60215
Solutex NA LLC,82488
OIL-DRI CORPORATION OF AMERICA,78870
PRO NATURA GESELLSCHAFT FÜR GESUNDE ERNÄHRUNG GMBH,63730
Dentsply Sirona Inc.,66312
"SURFACE LOGIX, LLC",72344
Kyn Therapeutics,79952
"Tianjin TOPTECH Bio-Science & Technology Co., Ltd.",33217
Grifols Worldwide Operations Limited,13533
SOUTH CHINA UNIVERSITY OF TECHNOLOGY,51400
"The United States of America, as Represented by the Secretary, Department of Human Services",58733
"S.S. MANUFACTURING CO., LTD.",71523
NATIONAL UNIVERSITY CORPORATION ASAHIKAWA MEDICAL UNIVERSITY,82076
BEIJING STAIDSON MEDICAL. TECHNOLOGY CO.. LTD.,71073
"Zhejiang Shanshi Medical Device Co., Ltd.",70412
REPUBLIC OF KOREA(MANAGEMENT: RURAL DEVELOPMENT ADMINISTRATION),84711
"Jiangxi Fushine Pharmaceutical Co., Ltd.",83778
"Biotech Institute, LLC",81309
SANOFI MATURE IP,00024
University of Parma,60215
UNIVERSITY OF SOUTH AUSTRALIA,60215
Central Adelaide Local Health Network Incorporated,85674
"New Health Sciences, Inc.",84992
I-MAB BIOPHARMA US LIMITED,61476
Alcon Inc.,00065
NATIONAL CENTER FOR CHILD HEALTH AND DEVELOPMENT,82076
TOTAL MARKETING SERVICES,55550
SHY Therapeutics LLC,79952
INNOVATIVE MOLECULES GMBH,57362
"Nanjing InnoCare Pharma Tech Co., Ltd.",87125
"Huzhou Center of Bio-Synthetic Innovation, Shanghai Institute of Organic Chemistry, Chinese Academy of Sciences",85734
NATIONAL UNIVERSITY CORPORATION SHIZOUKA UNIVERSITY,82076
"NORDIC NATURALS, INC.",69918
Medical Research Council,62137
"HANGZHOU GAMMA BIOTECH CO., LTD.",72823
Arkansas State University—Jonesboro,65603
"BLUE SEA LABORATORIES, S.L.",22431
THE UNIVERSITY OF SHEFFIELD,60215
University of New Orleans,60215
"BEIJING COISLITONG INDUSTRIAL CO., LTD.",71073
PHARMANUTRA S.P.A.,84797
One World Cannabis LTD,73442
Hunan University of Science and Engineering,84273
"SHANGHAI HEP PHARMACEUTICAL CO., LTD.",73557
ENDO GLOBAL VENTURES,00254
RESEARCH COOPERATION FOUNDATION OF YEUNGNAM UNIVERSITY,52654
"SHIJIAZHUANG SAGACITY NEW DRUG DEVELOPMENT COMPANY, LTD.",84664
National Institutes for Quantum and Radiological Science and Technology,82076
"The United States of America, as represented by the Secretary, Department of Health",58733
BIOXCEL CORPORATION,81092
WEST CHINA HOSPITAL OF SICHUAN UNIVERSITY,65008
"TIANJIN HEMAY PHARMACEUTICAL CO., LTD.",33217
Bill & Melinda Gates Foundation,52698
FERRING INTERNATIONAL CENTER S.A.,55566
ADVANCED CHITOSAN SOLUTIONS BIOTECH,69488
"EPIC SCIENCES, INC.",42806
THE UNITED STATES GOVERNMENT AS REPRESENTED BY THE,58733
"SRE Wellness, Inc.",71683
"Beijing Ebany Biological Medicine Technology Co., Ltd.",71073
Rise Life Sciences Corp.,84980
BEIJING UNIVERSITY OF AGRICULTURE,71073
"Global Biopharma, Inc.",59448
"ISE Professional Testing & Consulting Services, Inc.",10819
"CHENGDU BRILLIANT PHARMACEUTICAL CO., LTD.",82432
NUTRITION SCIENCES N.V.,82198
VIFOR FRESENIUS MEDICAL CARE RENAL PHARMA LTD,53436
ZHEJIANG JIACHI DEVELOPMENT PHARMACEUTICALS LTD,70412
H4 ORPHAN PHARMA,84381
WEX MEDICAL LIMITED,62137
LA JOLLA INSTITUTE OF ALLERGY & IMMUNOLOGY,68547
LABORATOIRES GENEVRIER,62169
"JO Cosmetics Co., Ltd.",42221
"FIRST FRUITS BUSINESS MINISTRY, LLC",53117
GUANGDONG PROVINCIAL HOSPITAL OF TRADITIONAL CHINESE MEDICINE,85279
GLENMARK SPECIALTY S.A.,68462
"Nanjing Noratech Pharmaceuticals Co., LTD",87125
CHU de Nice,44385
REPUBLIC OF KOREA (NATIONAL INSTITUTE OF FISHERIES SCIENCE),84711
